IDE;programa;IDG;corte1;corte2;prom;fallas;fallaP;curso;creditos;IDP;nestud;periodo;a–o;jornada;profesor;dedicacion;nsala;sala;horaExamen;inicio;final;nota;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
1863;Ingenier’a Electr—nica;G9;0;0;0;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;16;Centro de Computo Sala 7;9:00 a.m.;;;;;;;;;;;;;
1939;Ingenier’a Ambiental;G9;4;3;3,5;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;20;Torre P Sal—n 303;9:00 a.m.;09:09:00;10:21:00;2;0;0;0;0,5;0,5;0,5;0,5;0;0;0
1998;Ingenier’a Ambiental;G9;4,5;4,5;4,5;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;16;Centro de Computo Sala 7;9:00 a.m.;09:07:00;10:08:00;2,5;0;0;0,5;0;0,5;0,5;0,5;0,5;0;0
2026;Ingenier’a Ambiental;G9;4,5;3;3,75;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;15;Centro de Computo Sala 6;9:00 a.m.;09:04:00;10:24:00;1,5;0;0;0,5;0;0;0;0;0,5;0;0,5
2040;Ingenier’a Ambiental;G9;3,5;5;4,25;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;17;Centro de Computo Sala 8;9:00 a.m.;09:16:00;09:50:00;1,5;0,5;0;0,5;0;0;0;0;0,5;0;0
2045;Ingenier’a Industrial;G9;4,5;5;4,75;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;20;Torre P Sal—n 303;9:00 a.m.;09:08:00;10:01:00;1,5;0;0,5;0,5;0,5;0;0;0;0;0;0
2061;Ingenier’a Mec‡nica;G9;4;4,5;4,25;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;11;Centro de Computo Sala 2;9:00 a.m.;09:07:00;10:21:00;2,5;0,5;0,5;0,5;0,5;0,5;0;0;0;0;0
2072;Ingenier’a Ambiental;G9;4;4,5;4,25;0;0;Algoritmos y programaci—n;3;219;24;2;2017;d’a;Hades;TC;19;Torre P Sal—n 201;9:00 a.m.;09:11:00;10:07:00;1,5;0,5;0;0;0;0,5;0;0,5;0;0;0
1513;Ingenier’a Electr—nica;G32;4;5;4,5;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;2;Casa Kra 4ta Sal—n 204;9:00 a.m.;09:21:00;10:16:00;1,5;0,5;0;0;0;0;0,5;0,5;0;0;0
1553;Ingenier’a Ambiental;G32;3,5;4;3,75;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;8;Centro de Computo Sala 12;9:00 a.m.;09:16:00;09:58:00;0,5;0;0;0;0;0;0;0;0;0,5;0
1604;Ingenier’a Ambiental;G32;3,5;3;3,25;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;9;Centro de Computo Sala 13;9:00 a.m.;09:14:00;10:14:00;0,5;0;0;0;0;0;0;0;0,5;0;0
1621;Ingenier’a Ambiental;G32;4;4,5;4,25;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;4;Dise–o Y Simulaci—n Sala I;9:00 a.m.;09:11:00;10:09:00;2,5;0;0;0,5;0;0,5;0;0,5;0,5;0,5;0
1623;Ingenier’a Ambiental;G32;4;3,5;3,75;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;5;Dise–o Y Simulaci—n Sala II;9:00 a.m.;09:11:00;10:10:00;1;0;0;0,5;0;0;0;0;0;0,5;0
1628;Ingenier’a Electr—nica;G32;4;5;4,5;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;4;Dise–o Y Simulaci—n Sala I;9:00 a.m.;09:11:00;09:59:00;4;0,5;0;0,5;0,5;0;0,5;0,5;0,5;0,5;0,5
1687;Ingenier’a Ambiental;G32;4;3,5;3,75;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;4;Dise–o Y Simulaci—n Sala I;9:00 a.m.;09:14:00;10:26:00;1;0,5;0;0;0,5;0;0;0;0;0;0
1761;Ingenier’a Ambiental;G32;3,5;2,5;3;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;7;Centro de Computo Sala 11;9:00 a.m.;09:20:00;09:53:00;1;0;0;0;0;0;0;0;0,5;0;0,5
1873;Ingenier’a Ambiental;G32;4;2,5;3,25;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;6;Centro de Computo Sala 10;9:00 a.m.;09:11:00;10:05:00;1;0;0;0;0;0;0;0;0,5;0;0,5
1879;Ingenier’a De Sistemas;G32;3,5;3;3,25;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;9;Centro de Computo Sala 13;9:00 a.m.;09:27:00;10:43:00;2,5;0,5;0;0,5;0,5;0;0;0;0,5;0,5;0
1886;Ingenier’a Ambiental;G32;3,5;4;3,75;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;7;Centro de Computo Sala 11;9:00 a.m.;09:17:00;09:55:00;0,5;0;0;0;0;0;0;0;0;0;0,5
1891;Ingenier’a Ambiental;G32;4;4,5;4,25;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;3;Casa Kra 4ta Sal—n 301;9:00 a.m.;09:10:00;09:49:00;1,5;0;0;0;0;0;0;0,5;0;0,5;0,5
1895;Ingenier’a Ambiental;G32;4;2,5;3,25;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;5;Dise–o Y Simulaci—n Sala II;9:00 a.m.;09:12:00;10:30:00;3;0,5;0;0,5;0,5;0;0,5;0;0;0,5;0,5
1912;Ingenier’a Ambiental;G32;4;3;3,5;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;1;Casa Kra 4ta Sal—n  101;9:00 a.m.;09:35:00;10:16:00;2,5;0,5;0,5;0;0,5;0,5;0;0;0,5;0;0
1930;Ingenier’a Ambiental;G32;5;4;4,5;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;3;Casa Kra 4ta Sal—n 301;9:00 a.m.;09:15:00;09:56:00;1,5;0;0;0;0,5;0;0,5;0;0;0;0,5
1940;Ingenier’a Ambiental;G32;5;5;5;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;2;Casa Kra 4ta Sal—n 204;9:00 a.m.;09:10:00;10:25:00;3,5;0;0,5;0,5;0,5;0,5;0,5;0;0,5;0;0,5
1999;Ingenier’a Ambiental;G32;3,5;0;1,75;12;70,59;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;1;Casa Kra 4ta Sal—n  101;9:00 a.m.;;;;;;;;;;;;;
2009;Ingenier’a Ambiental;G32;3,5;3;3,25;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;8;Centro de Computo Sala 12;9:00 a.m.;09:14:00;10:31:00;1;0;0;0;0,5;0;0;0;0;0,5;0
2011;Ingenier’a De Sistemas;G32;4,5;4;4,25;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;10;Centro de Computo Sala 14;9:00 a.m.;09:11:00;10:01:00;0,5;0;0;0;0;0;0;0;0,5;0;0
2062;Ingenier’a Ambiental;G32;4;4;4;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;10;Centro de Computo Sala 14;9:00 a.m.;09:11:00;10:05:00;1,5;0;0;0,5;0;0;0;0,5;0;0;0,5
2065;Ingenier’a De Sistemas;G32;2;4;3;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;1;Casa Kra 4ta Sal—n  101;9:00 a.m.;09:27:00;10:34:00;1;0,5;0;0;0,5;0;0;0;0;0;0
2068;Ingenier’a Ambiental;G32;4,5;4;4,25;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;2;Casa Kra 4ta Sal—n 204;9:00 a.m.;09:11:00;10:16:00;1,5;0;0;0;0;0,5;0;0;0,5;0;0,5
2074;Ingenier’a Ambiental;G32;4,5;4;4,25;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;6;Centro de Computo Sala 10;9:00 a.m.;09:11:00;10:27:00;1;0;0,5;0;0;0;0;0;0;0,5;0
2083;Ingenier’a Electr—nica;G32;4,5;4,5;4,5;0;0;Algoritmos y programaci—n;3;223;24;2;2017;d’a;Polidoro;TC;3;Casa Kra 4ta Sal—n 301;9:00 a.m.;09:10:00;10:13:00;2;0;0,5;0;0;0,5;0,5;0;0;0,5;0
1514;Ingenier’a Ambiental;G10;3,5;3,5;3,5;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;14;Centro de Computo Sala 5;9:00 a.m.;09:04:00;09:57:00;3;0;0;0;0,5;0,5;0,5;0;0,5;0,5;0,5
1528;Ingenier’a De Sistemas;G10;2;0;1;19;111,76;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;6;Centro de Computo Sala 10;9:00 a.m.;;;;;;;;;;;;;
1581;Ingenier’a Industrial;G10;1,5;0;0;6;35,29;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;8;Centro de Computo Sala 12;9:00 a.m.;;;;;;;;;;;;;
1587;Ingenier’a Ambiental;G10;2,5;1,5;2;2;11,76;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;10;Centro de Computo Sala 14;9:00 a.m.;09:10:00;09:59:00;1;0;0;0;0;0,5;0,5;0;0;0;0
1637;Ingenier’a Ambiental;G10;3;1,5;2,25;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;13;Centro de Computo Sala 4;9:00 a.m.;09:13:00;10:01:00;0,5;0;0;0;0;0,5;0;0;0;0;0
1783;Ingenier’a Ambiental;G10;2,5;1,5;2;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;17;Centro de Computo Sala 8;9:00 a.m.;09:10:00;10:04:00;1,5;0,5;0;0;0;0;0,5;0;0,5;0;0
1823;Ingenier’a Ambiental;G10;2,5;1;1,75;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;12;Centro de Computo Sala 3;9:00 a.m.;09:24:00;10:03:00;1;0,5;0;0;0;0;0;0,5;0;0;0
1839;Ingenier’a Ambiental;G10;2;1,5;1,75;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;13;Centro de Computo Sala 4;9:00 a.m.;09:13:00;10:02:00;2,5;0;0,5;0;0,5;0;0,5;0;0,5;0;0,5
1884;Ingenier’a Ambiental;G10;2,5;1,5;2;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;14;Centro de Computo Sala 5;9:00 a.m.;09:08:00;10:19:00;1,5;0;0;0;0,5;0,5;0;0;0;0,5;0
1894;Ingenier’a Industrial;G10;4;4;4;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;16;Centro de Computo Sala 7;9:00 a.m.;09:06:00;10:10:00;1,5;0;0;0;0,5;0,5;0;0;0;0;0,5
1909;Ingenier’a Ambiental;G10;3,5;3;3,25;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;16;Centro de Computo Sala 7;9:00 a.m.;09:16:00;09:52:00;4,5;0;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5
1915;Ingenier’a Ambiental;G10;0;0;0;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;18;Centro de Computo Sala 9;9:00 a.m.;;;;;;;;;;;;;
1916;Ingenier’a Ambiental;G10;3,5;1,5;2,5;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;19;Torre P Sal—n 201;9:00 a.m.;09:04:00;09:54:00;1;0;0;0;0,5;0;0;0;0;0,5;0
1922;Ingenier’a Ambiental;G10;0;0;0;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;11;Centro de Computo Sala 2;9:00 a.m.;;;;;;;;;;;;;
1931;Ingenier’a Ambiental;G10;2,5;3;2,75;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;15;Centro de Computo Sala 6;9:00 a.m.;09:06:00;10:16:00;2;0;0;0;0;0,5;0;0;0,5;0,5;0,5
1973;Ingenier’a Industrial;G10;4;3;3,5;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;17;Centro de Computo Sala 8;9:00 a.m.;09:07:00;10:14:00;2,5;0,5;0;0;0,5;0,5;0,5;0;0;0,5;0
1994;Ingenier’a Ambiental;G10;0,5;0;0,25;37;217,65;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;3;Casa Kra 4ta Sal—n 301;9:00 a.m.;;;;;;;;;;;;;
2001;Ingenier’a Ambiental;G10;1;1;1;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;20;Torre P Sal—n 303;9:00 a.m.;09:17:00;10:27:00;1,5;0,5;0;0;0,5;0,5;0;0;0;0;0
2056;Ingenier’a Ambiental;G10;1,5;0,5;1;7;41,18;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;10;Centro de Computo Sala 14;9:00 a.m.;09:11:00;09:49:00;1,5;0,5;0,5;0,5;0;0;0;0;0;0;0
2059;Ingenier’a Ambiental;G10;2,5;0;0;0;0;Algoritmos y programaci—n;3;203;20;2;2017;d’a;Artemisa;TC;15;Centro de Computo Sala 6;9:00 a.m.;;;;;;;;;;;;;
1516;Ingenier’a De Sistemas;G29;2,5;3,5;3;0;0;Algoritmos y programaci—n;3;214;12;2;2017;noche;Paris;C‡tedra;32;Torre P Sal—n 301;6:00 p.m.;18:19:00;19:13:00;1;0;0;0;0;0,5;0;0;0;0,5;0
1517;Ingenier’a De Sistemas;G29;2;2;2;0;0;Algoritmos y programaci—n;3;214;12;2;2017;noche;Paris;C‡tedra;22;Casa Kra 4ta Sal—n 204;6:00 p.m.;;;;;;;;;;;;;
1530;Ingenier’a Ambiental;G29;3;3;3;0;0;Algoritmos y programaci—n;3;214;12;2;2017;noche;Paris;C‡tedra;28;Centro de Computo Sala 8;6:00 p.m.;18:11:00;18:48:00;1,5;0;0;0;0,5;0;0;0;0,5;0,5;0
1605;Ingenier’a De Sistemas;G29;2,5;0;0;0;0;Algoritmos y programaci—n;3;214;12;2;2017;noche;Paris;C‡tedra;23;Casa Kra 4ta Sal—n 301;6:00 p.m.;;;;;;;;;;;;;
1642;Ingenier’a Industrial;G29;2;3,5;2,75;0;0;Algoritmos y programaci—n;3;214;12;2;2017;noche;Paris;C‡tedra;27;Centro de Computo Sala 7;6:00 p.m.;;;;;;;;;;;;;
1667;Ingenier’a De Sistemas;G29;2,5;3;2,75;0;0;Algoritmos y programaci—n;3;214;12;2;2017;noche;Paris;C‡tedra;24;Centro de Computo Sala 6;6:00 p.m.;18:11:00;19:18:00;0,5;0;0;0;0,5;0;0;0;0;0;0
1760;Ingenier’a De Sistemas;G29;4,5;3,5;4;0;0;Algoritmos y programaci—n;3;214;12;2;2017;noche;Paris;C‡tedra;29;Centro de Computo Sala 9;6:00 p.m.;18:29:00;19:39:00;2,5;0,5;0;0;0,5;0;0;0;0,5;0,5;0,5
1860;Ingenier’a De Sistemas;G29;4;3;3,5;0;0;Algoritmos y programaci—n;3;214;12;2;2017;noche;Paris;C‡tedra;26;Centro de Computo Sala 11;6:00 p.m.;18:16:00;18:45:00;1;0;0;0;0;0,5;0;0;0;0;0,5
1949;Ingenier’a De Sistemas;G29;2,5;3;2,75;0;0;Algoritmos y programaci—n;3;214;12;2;2017;noche;Paris;C‡tedra;31;Torre P Sal—n 303;6:00 p.m.;18:15:00;19:03:00;1;0;0;0;0;0,5;0;0;0,5;0;0
2005;Ingenier’a De Sistemas;G29;4,5;3,5;4;0;0;Algoritmos y programaci—n;3;214;12;2;2017;noche;Paris;C‡tedra;25;Centro de Computo Sala 10;6:00 p.m.;18:14:00;19:39:00;3;0,5;0,5;0;0;0;0;0,5;0,5;0,5;0,5
2033;Ingenier’a De Sistemas;G29;5;4;4,5;0;0;Algoritmos y programaci—n;3;214;12;2;2017;noche;Paris;C‡tedra;30;Torre P Sal—n 201;6:00 p.m.;18:14:00;19:47:00;3;0,5;0;0,5;0,5;0;0,5;0;0,5;0,5;0
2088;Ingenier’a De Sistemas;G29;3,5;3,5;3,5;0;0;Algoritmos y programaci—n;3;214;12;2;2017;noche;Paris;C‡tedra;21;Casa Kra 4ta Sal—n  101;6:00 p.m.;18:27:00;18:49:00;2,5;0,5;0;0;0;0;0;0,5;0,5;0,5;0,5
1518;Ingenier’a Ambiental;G8;4;3;3,5;0;0;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;19;Torre P Sal—n 201;9:00 a.m.;09:05:00;09:53:00;2;0;0,5;0;0,5;0,5;0;0;0;0;0,5
1526;Ingenier’a Industrial;G8;3,5;3;3,25;0;0;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;15;Centro de Computo Sala 6;9:00 a.m.;09:22:00;10:22:00;1;0,5;0;0;0;0;0;0;0;0;0,5
1548;Ingenier’a Electr—nica;G8;3;3;3;0;0;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;11;Centro de Computo Sala 2;9:00 a.m.;09:07:00;09:55:00;1,5;0;0;0;0;0,5;0,5;0;0,5;0;0
1570;Ingenier’a Industrial;G8;4;4;4;0;0;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;14;Centro de Computo Sala 5;9:00 a.m.;09:09:00;10:33:00;2,5;0,5;0;0,5;0,5;0;0,5;0;0;0;0,5
1575;Ingenier’a Electr—nica;G8;4;5;4,5;0;0;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;17;Centro de Computo Sala 8;9:00 a.m.;09:06:00;10:03:00;4,5;0,5;0,5;0,5;0,5;0,5;0;0,5;0,5;0,5;0,5
1590;Ingenier’a Electr—nica;G8;3,5;0;1,75;15;88,24;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;3;Casa Kra 4ta Sal—n 301;9:00 a.m.;;;;;;;;;;;;;
1619;Ingenier’a Industrial;G8;2;3;2,5;0;0;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;17;Centro de Computo Sala 8;9:00 a.m.;;;;;;;;;;;;;
1708;Ingenier’a Electr—nica;G8;3;3,5;3,25;0;0;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;13;Centro de Computo Sala 4;9:00 a.m.;09:12:00;10:02:00;0,5;0;0,5;0;0;0;0;0;0;0;0
1710;Ingenier’a Electr—nica;G8;4;3,5;3,75;0;0;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;15;Centro de Computo Sala 6;9:00 a.m.;09:18:00;10:09:00;0;0;0;0;0;0;0;0;0;0;0
1742;Ingenier’a Industrial;G8;4;5;4,5;0;0;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;13;Centro de Computo Sala 4;9:00 a.m.;09:20:00;10:28:00;1,5;0,5;0,5;0;0;0;0;0;0,5;0;0
1759;Ingenier’a Mec‡nica;G8;4;3,5;3,75;0;0;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;19;Torre P Sal—n 201;9:00 a.m.;09:13:00;09:56:00;2;0,5;0,5;0;0,5;0;0;0;0;0,5;0
1786;Ingenier’a Ambiental;G8;5;3;4;0;0;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;20;Torre P Sal—n 303;9:00 a.m.;09:16:00;10:25:00;1;0,5;0,5;0;0;0;0;0;0;0;0
1806;Ingenier’a Electr—nica;G8;4;4;4;0;0;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;16;Centro de Computo Sala 7;9:00 a.m.;09:08:00;09:50:00;1;0;0;0;0,5;0;0;0;0;0,5;0
1837;Ingenier’a Electr—nica;G8;4,5;3,5;4;0;0;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;18;Centro de Computo Sala 9;9:00 a.m.;09:05:00;09:46:00;1,5;0,5;0,5;0;0;0;0;0;0;0,5;0
1840;Ingenier’a Electr—nica;G8;3,5;4;3,75;0;0;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;19;Torre P Sal—n 201;9:00 a.m.;09:04:00;09:43:00;0,5;0;0;0;0;0;0,5;0;0;0;0
1851;Ingenier’a Electr—nica;G8;4;3,5;3,75;0;0;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;20;Torre P Sal—n 303;9:00 a.m.;09:37:00;10:27:00;2;0,5;0,5;0,5;0;0,5;0;0;0;0;0
1972;Ingenier’a Ambiental;G8;4;3,5;3,75;0;0;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;11;Centro de Computo Sala 2;9:00 a.m.;09:07:00;09:59:00;0,5;0;0;0;0,5;0;0;0;0;0;0
1997;Ingenier’a De Sistemas;G8;4;4;4;0;0;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;12;Centro de Computo Sala 3;9:00 a.m.;09:23:00;10:17:00;2;0,5;0;0,5;0;0;0;0;0,5;0;0,5
2015;Ingenier’a Industrial;G8;4,5;3;3,75;0;0;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;16;Centro de Computo Sala 7;9:00 a.m.;09:19:00;10:04:00;1;0;0;0,5;0;0;0;0;0;0;0,5
2030;Ingenier’a Industrial;G8;5;3,5;4,25;0;0;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;18;Centro de Computo Sala 9;9:00 a.m.;09:09:00;09:45:00;2;0;0;0,5;0,5;0,5;0;0;0;0;0,5
2031;Ingenier’a Ambiental;G8;2;1;1,5;10;58,82;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;8;Centro de Computo Sala 12;9:00 a.m.;;;;;;;;;;;;;
2057;Ingenier’a Electr—nica;G8;4;4;4;0;0;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;14;Centro de Computo Sala 5;9:00 a.m.;09:06:00;10:30:00;1,5;0,5;0;0;0,5;0;0,5;0;0;0;0
2076;Ingenier’a Electr—nica;G8;4;3;3,5;0;0;Algoritmos y programaci—n;3;220;23;2;2017;d’a;Euforbo;TC;12;Centro de Computo Sala 3;9:00 a.m.;09:24:00;10:04:00;1,5;0,5;0,5;0;0;0;0;0;0;0;0,5
1519;Ingenier’a Ambiental;G21;2;3;2,5;3;17,65;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;25;Centro de Computo Sala 10;6:00 p.m.;18:19:00;18:56:00;2,5;0;0;0;0,5;0;0;0,5;0,5;0,5;0,5
1541;Ingenier’a Ambiental;G21;2;3;2,5;2;11,76;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;21;Casa Kra 4ta Sal—n  101;6:00 p.m.;18:14:00;19:18:00;1;0;0;0,5;0;0;0;0;0,5;0;0
1567;Ingenier’a Industrial;G21;3,5;3;3,25;1;5,88;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;31;Torre P Sal—n 303;6:00 p.m.;18:14:00;19:01:00;1,5;0;0,5;0;0;0,5;0;0;0,5;0;0
1578;Ingenier’a Ambiental;G21;3;2,5;2,75;2;11,76;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;32;Torre P Sal—n 301;6:00 p.m.;18:09:00;19:19:00;1;0;0;0,5;0;0,5;0;0;0;0;0
1584;Ingenier’a De Sistemas;G21;4;4;4;6;35,29;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;27;Centro de Computo Sala 7;6:00 p.m.;18:19:00;18:52:00;4;0;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0;0,5
1608;Ingenier’a Ambiental;G21;3;2;2,5;10;58,82;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;29;Centro de Computo Sala 9;6:00 p.m.;18:11:00;18:44:00;4;0;0,5;0;0,5;0,5;0,5;0,5;0,5;0,5;0,5
1726;Ingenier’a Industrial;G21;3;2,5;2,75;8;47,06;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;25;Centro de Computo Sala 10;6:00 p.m.;18:14:00;19:16:00;2;0,5;0;0;0;0,5;0;0;0,5;0;0,5
1751;Ingenier’a Electr—nica;G21;3,5;3,5;3,5;2;11,76;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;22;Casa Kra 4ta Sal—n 204;6:00 p.m.;18:16:00;19:30:00;1;0,5;0;0;0;0;0;0;0;0;0,5
1804;Ingenier’a Industrial;G21;2;2,5;2,25;7;41,18;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;21;Casa Kra 4ta Sal—n  101;6:00 p.m.;;;;;;;;;;;;;
1825;Ingenier’a Mec‡nica;G21;3;3,5;3,25;3;17,65;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;27;Centro de Computo Sala 7;6:00 p.m.;;;;;;;;;;;;;
1874;Ingenier’a Ambiental;G21;2,5;3,5;3;1;5,88;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;29;Centro de Computo Sala 9;6:00 p.m.;18:21:00;18:59:00;0,5;0;0;0,5;0;0;0;0;0;0;0
1945;Ingenier’a Industrial;G21;3,5;2,5;3;0;0;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;23;Casa Kra 4ta Sal—n 301;6:00 p.m.;18:27:00;18:57:00;1;0;0;0;0;0,5;0;0;0,5;0;0
1969;Ingenier’a Ambiental;G21;2,5;3;2,75;1;5,88;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;30;Torre P Sal—n 201;6:00 p.m.;18:14:00;18:53:00;0,5;0;0;0;0;0;0;0;0,5;0;0
2028;Ingenier’a Ambiental;G21;2,5;3,5;3;2;11,76;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;31;Torre P Sal—n 303;6:00 p.m.;18:13:00;19:05:00;1,5;0;0;0;0,5;0,5;0;0,5;0;0;0
2038;Ingenier’a Mec‡nica;G21;3;3;3;3;17,65;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;26;Centro de Computo Sala 11;6:00 p.m.;18:12:00;18:59:00;2;0;0;0;0,5;0,5;0;0;0;0,5;0,5
2080;Ingenier’a Mec‡nica;G21;2,5;3,5;3;2;11,76;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;23;Casa Kra 4ta Sal—n 301;6:00 p.m.;18:27:00;19:15:00;2,5;0;0;0,5;0,5;0,5;0;0;0;0,5;0,5
2095;Ingenier’a Ambiental;G21;3;2,5;2,75;0;0;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;22;Casa Kra 4ta Sal—n 204;6:00 p.m.;18:14:00;19:07:00;1,5;0;0;0,5;0;0;0;0;0,5;0;0,5
